"brand_id","activeFlag","brand","createDate","specification","dictionary_value_id","abbreviation","alias","create_time","creator","description","item_value","last_modifier","last_modify_time","picture_file_name","sequence","valid","parent_id","item_id"
"8af59e0f57a4dc230157ad9e3fb50226","1","印尼","2016-10-10 16:03:31","宁波崇信贸易有限公司","","","","","","","","","","","","","",""
"8af59e0f57a4dc230157d60b17ec0b60","1","美国南亚","2016-10-18 12:27:13","","","","","","","","","","","","","","",""
"8af59e0f5806bbdb01580a24206a00a9","1","绿宇","2016-10-28 15:14:49","浙江绿宇环保股份有限公司","","","","","","","","","","","","","",""
"8af59e0f584ee0630158522becda005c","1","海利得","2016-11-11 14:56:00","","","","","","","","","","","","","","",""
"8af59e0f5894a0170158cd6c62df0418","1","柏盛","2016-12-05 13:19:42","浙江柏盛化纤股份有限公司","","","","","","","","","","","","","",""
"8af59e0f58d431cd0158f1c17c1c022a","1","舜象","2016-12-12 14:38:59","宁波舜象科技实业有限公司","","","","","","","","","","","","","",""
"8af59e0f58f8ba800158fc7b3cc6003a","1","米豆","2016-12-14 16:38:04","","","","","","","","","","","","","","",""
"8af59e0f5900bbdc0159062298530062","1","普尔","2016-12-16 13:37:27","","","","","","","","","","","","","","",""
"8af59e0f5900bbdc01590640689e006f","1","杰普尔","2016-12-16 14:10:01","江苏杰普尔环保科技有限公司","","","","","","","","","","","","","",""
"8af59e0f5900bbdc015914ba875a00c8","1","丝丽雅","2016-12-19 09:38:05","宜宾丝丽雅纺织贸易有限公司","","","","","","","","","","","","","",""
"8af59e0f5a643419015a651234500019","1","锦兴","2017-02-22 17:06:16","","","","","","","","","","","","","","",""
"8af59e0f5a854afc015aa13827db0136","1","扬昇","2017-03-06 09:24:56","","","","","","","","","","","","","","",""
"8af59e0f5aa46bee015aa64d6a770003","1","吉普斯","2017-03-07 09:06:15","","","","","","","","","","","","","","",""
"8af59e0f5aa8ab3a015aacc7140d001b","1","龙吟","2017-03-08 15:16:52","","","","","","","","","","","","","","",""
"8af59e0f5ab74ed3015ac6694e2200bf","1","方泰","2017-03-13 14:44:34","","","","","","","","","","","","","","",""
"8af59e0f5ab74ed3015ac669a60400c0","1","友声","2017-03-13 14:44:56","","","","","","","","","","","","","","",""
"8af59e0f5ab74ed3015ac669c73d00c1","1","爱宝","2017-03-13 14:45:05","","","","","","","","","","","","","","",""
"8af59e0f5ab74ed3015ac669e2b700c2","1","君方","2017-03-13 14:45:12","","","","","","","","","","","","","","",""
"8af59e0f5ab74ed3015ac66a341c00c3","1","TSC","2017-03-13 14:45:33","","","","","","","","","","","","","","",""
"8af59e0f5accb226015acff47453006b","1","金鑫","2017-03-15 11:13:08","","","","","","","","","","","","","","",""
